Title,Image,URL_detail,Address,Direction,Score,Reviews,_4abc4c3d5,_c5d12bf22,_2075f7b46__divcontains_class__4abc4c3d5,_3abe99b47,_4abc4c3d53,_a11e76d75
Trang Trang Boutique Hotel,https://cf.bstatic.com/xdata/images/hotel/square200/216042113.webp?k=60f4a0c346fea916d8d86eab9acb0f8678bd7995ccfdf62ef76e276df59814cf&o=&s=1,https://www.booking.com/hotel/vn/trang-trang-boutique.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=486268901_265832321_0_2_0&highlighted_blocks=486268901_265832321_0_2_0&matching_block_id=486268901_265832321_0_2_0&sr_pri_blocks=486268901_265832321_0_2_0__30015000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i","Cách trung tâm 0,7km","9,5",Xu?t s?c,594 ?ánh giá,Phòng Superior Có Gi??ng C? Queen,1 gi??ng ?ôi l?n,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",VND 667.000
Hanoi Media Hotel & Spa,https://cf.bstatic.com/xdata/images/hotel/square200/295588951.webp?k=d4cda0975ae9fd70a4a720628c3bc59e6cca778885e5a991e9dcce32402911b4&o=&s=1,https://www.booking.com/hotel/vn/meracus.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=33880101_263760198_0_2_0&highlighted_blocks=33880101_263760198_0_2_0&matching_block_id=33880101_263760198_0_2_0&sr_pri_blocks=33880101_263760198_0_2_0__49500000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i",Cách trung tâm 500m,"9,0",Tuy?t h?o,414 ?ánh giá,Phòng Superior Gi??ng ?ôi,1 gi??ng ?ôi l?n,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",VND 1.980.000
Moon West Lake Hotel & Residence,https://cf.bstatic.com/xdata/images/hotel/square200/304355783.webp?k=d830c8baf86e685020c958c274d3d29c2c1ca427bcbb0f253b735919726acefd&o=&s=1,https://www.booking.com/hotel/vn/moon-west-lake-serviced-apartment.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=542356106_328384193_2_0_0&highlighted_blocks=542356106_328384193_2_0_0&matching_block_id=542356106_328384193_2_0_0&sr_pri_blocks=542356106_328384193_2_0_0__75000000&tpi_r=2&from=searchresults&map=1,"Qu?n Tây H?, Ha? Nô?i",Cách trung tâm 5km,"8,3",R?t t?t,124 ?ánh giá,Phòng Deluxe Co? Gi???ng C?? Queen,1 gi??ng ?ôi l?n,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",
Hanoi Prime Center Hotel,https://cf.bstatic.com/xdata/images/hotel/square200/247138462.webp?k=221dee62a87118a27dfe06a4767bc2ff33776269b98c7334fa0fbf9a83eb3470&o=&s=1,https://www.booking.com/hotel/vn/hanoi-prime-center-amp-travel.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=299824715_295804335_0_0_0&highlighted_blocks=299824715_295804335_0_0_0&matching_block_id=299824715_295804335_0_0_0&sr_pri_blocks=299824715_295804335_0_0_0__21780000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i","Cách trung tâm 1,1km","9,7",Xu?t s?c,193 ?ánh giá,?u ?ãi S? D?ng Trong Ngày (4 Gi?) - Phòng Superior Gi??ng ?ôi,1 gi??ng ?ôi l?n,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",
Hanoi Sunshine Hotel,https://cf.bstatic.com/xdata/images/hotel/square200/326442295.webp?k=5871f3879bdcaa9d28b3b99e9ac6365e47663c8cc7695f06c49c02a21f5bd1f5&o=&s=1,https://www.booking.com/hotel/vn/hanoi-chic.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=27413716_263146663_0_2_0&highlighted_blocks=27413716_263146663_0_2_0&matching_block_id=27413716_263146663_0_2_0&sr_pri_blocks=27413716_263146663_0_2_0__45000000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i","Cách trung tâm 0,6km","9,2",Tuy?t h?o,1.910 ?ánh giá,Phòng Gia ?ình,"2 gi??ng (1 gi??ng ??n, 1 gi??ng ?ôi l?n)",Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",VND 1.800.000
Hanoi Center Silk Hotel & Travel,https://cf.bstatic.com/xdata/images/hotel/square200/293531159.webp?k=1a57900ffe6fb5a202c97a2e115ad41839d8d56cab4c040b4726fda68b3d81af&o=&s=1,https://www.booking.com/hotel/vn/essence-d-orient.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=26547801_295932320_2_42_0&highlighted_blocks=26547801_295932320_2_42_0&matching_block_id=26547801_295932320_2_42_0&sr_pri_blocks=26547801_295932320_2_42_0__47196000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i","Cách trung tâm 0,7km","8,9",Tuy?t v?i,264 ?ánh giá,Phòng Deluxe v?i C?a s?,Nhi?u lo?i gi??ng,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",VND 2.359.800
Spring Hotel Hanoi,https://cf.bstatic.com/xdata/images/hotel/square200/190106810.webp?k=f0fe20808d447ae8c4e634001fad9f3002a255b24b5bc9d582f0ac84856d31aa&o=&s=1,https://www.booking.com/hotel/vn/spring-hanoi.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=444460401_133259668_0_0_0&highlighted_blocks=444460401_133259668_0_0_0&matching_block_id=444460401_133259668_0_0_0&sr_pri_blocks=444460401_133259668_0_0_0__97200000&tpi_r=1&from=searchresults&map=1,"Cau Giay, Ha? Nô?i","Cách trung tâm 6,9km","8,7",Tuy?t v?i,59 ?ánh giá,Phòng C? ?i?n Gi??ng C? King,,Mi?n phí h?y,,
The Oriental Jade Hotel,https://cf.bstatic.com/xdata/images/hotel/square200/221822290.webp?k=5f3aa805d35adc65bba813df7bd3a08cc6e0e9bee12c76c2199dbbbc4f0d5554&o=&s=1,https://www.booking.com/hotel/vn/the-oriental-jade-amp-spa.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=485753201_285223901_0_2_0&highlighted_blocks=485753201_285223901_0_2_0&matching_block_id=485753201_285223901_0_2_0&sr_pri_blocks=485753201_285223901_0_2_0__128606400&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i",Cách trung tâm 300m,"9,5",Xu?t s?c,1.592 ?ánh giá,Phòng Oriental Pearl 2 Gi??ng ??n,2 gi??ng ??n,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",VND 3.062.056
Amorita Boutique Hotel Hanoi,https://cf.bstatic.com/xdata/images/hotel/square200/290174947.webp?k=86a6353e11af39bcc61801392d8e1ba1ccc3e6d2d621971151f5c161be37fee1&o=&s=1,https://www.booking.com/hotel/vn/hanoi-royal-view.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=26669554_265160873_0_2_0&highlighted_blocks=26669554_265160873_0_2_0&matching_block_id=26669554_265160873_0_2_0&sr_pri_blocks=26669554_265160873_0_2_0__30800000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i",Cách trung tâm 400m,"8,7",Tuy?t v?i,1.181 ?ánh giá,Phòng Deluxe Gi??ng ?ôi/2 Gi??ng ??n,1 gi??ng ?ôi ho?c 2 gi??ng ??n,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",VND 1.400.000
Hanoi Ancient Paradise Hotel & Travel,https://cf.bstatic.com/xdata/images/hotel/square200/258287071.webp?k=270f2311f6520f66ffad3cd602ca10f882a8971276e766c8c621c5253bbc2d46&o=&s=1,https://www.booking.com/hotel/vn/hanoi-accient-paradise-amp-travel.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=651145605_288460707_0_2_0&highlighted_blocks=651145605_288460707_0_2_0&matching_block_id=651145605_288460707_0_2_0&sr_pri_blocks=651145605_288460707_0_2_0__26334000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i",Cách trung tâm 1km,"9,2",Tuy?t h?o,299 ?ánh giá,?u ?ãi S? D?ng Trong Ngày (3 Gi?) - Phòng Deluxe,Nhi?u lo?i gi??ng,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",VND 342.000
Hanoian Central Hotel & Spa,https://cf.bstatic.com/xdata/images/hotel/square200/216326414.webp?k=3e21b8f57b08ad07015b9e7b54a86e888806df3471815236eb0002bb6e5dfbea&o=&s=1,https://www.booking.com/hotel/vn/the-hanoian-hotel.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=36064401_265723794_0_42_0&highlighted_blocks=36064401_265723794_0_42_0&matching_block_id=36064401_265723794_0_42_0&sr_pri_blocks=36064401_265723794_0_42_0__77786000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i","Cách trung tâm 1,2km","9,5",Xu?t s?c,203 ?ánh giá,Phòng Superior Gi??ng ?ôi,1 gi??ng ?ôi c?c l?n,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",VND 1.555.720
Aura Home Opera House 1A,https://cf.bstatic.com/xdata/images/hotel/square200/334507230.webp?k=fc359481a162f5e707dfb113ff8691cd8a25bbe75c55df8fe942c853dac2c16f&o=&s=1,https://www.booking.com/hotel/vn/aura-home-1a-trang-tien.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=810304301_343204453_2_1_0&highlighted_blocks=810304301_343204453_2_1_0&matching_block_id=810304301_343204453_2_1_0&sr_pri_blocks=810304301_343204453_2_1_0__76000000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i","Cách trung tâm 0,7km",10,Xu?t s?c,3 ?ánh giá,C?n H? 2 Phòng Ng?,"3 gi??ng (1 gi??ng sofa, 2 gi??ng ?ôi l?n)",Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",
