Title,Image,URL_detail,Address,Direction,Score,Reviews,_4abc4c3d5,_c5d12bf22,_2075f7b46__divcontains_class__4abc4c3d5,_3abe99b47,_4abc4c3d53,_a11e76d75
Mai Hotel,https://cf.bstatic.com/xdata/images/hotel/square200/331705262.webp?k=72a2889760e70f453de94495d23839df7b1e7908a3a7465440fb962006dc9477&o=&s=1,https://www.booking.com/hotel/vn/mai-ha-noi1.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=780579306_336476823_2_2_0&highlighted_blocks=780579306_336476823_2_2_0&matching_block_id=780579306_336476823_2_2_0&sr_pri_blocks=780579306_336476823_2_2_0__30000000&tpi_r=2&from=searchresults&map=1,"Qu?n ??ng ?a, Ha? Nô?i",Cách trung tâm 3km,"8,9",Tuy?t v?i,12 ?ánh giá,S? D?ng Trong Ngày (2 Gi?),1 gi??ng ?ôi l?n,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",
Dal Vostro Hotel & Spa,https://cf.bstatic.com/xdata/images/hotel/square200/257409980.webp?k=a8f0264420e403d17952823e3f12cfee3cbe485a612d70f902896bd7731d8320&o=&s=1,https://www.booking.com/hotel/vn/dal-vostro-amp-spa.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=324917510_262618656_0_42_0&highlighted_blocks=324917510_262618656_0_42_0&matching_block_id=324917510_262618656_0_42_0&sr_pri_blocks=324917510_262618656_0_42_0__35700000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i",Cách trung tâm 400m,"8,8",Tuy?t v?i,844 ?ánh giá,?u ?ãi S? D?ng Trong Ngày (2 Gi?) - Phòng Deluxe Gi??ng ?ôi,1 gi??ng ?ôi l?n,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",
Poonsa Duy Tan Hotel and Serviced Apartment,https://cf.bstatic.com/xdata/images/hotel/square200/287372418.webp?k=8a58820f150bd7309709300ea050efba0a59fd197e4701ddfd0b5262fa5b2448&o=&s=1,https://www.booking.com/hotel/vn/poonsa-serviced-apartment-7.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=219360504_295921504_2_0_0&highlighted_blocks=219360504_295921504_2_0_0&matching_block_id=219360504_295921504_2_0_0&sr_pri_blocks=219360504_295921504_2_0_0__61612500&tpi_r=1&from=searchresults&map=1,"Cau Giay, Ha? Nô?i","Cách trung tâm 6,6km","8,4",R?t t?t,59 ?ánh giá,Studio Superior,,,,
Aira Boutique Hanoi Hotel & Spa,https://cf.bstatic.com/xdata/images/hotel/square200/282635560.webp?k=3928326a7a3f73664343dd0a338177134c506e805e052533d6bc11cf36ef2cba&o=&s=1,https://www.booking.com/hotel/vn/aira-boutique-hanoi-hotel-spa.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=394548301_288357500_0_2_0&highlighted_blocks=394548301_288357500_0_2_0&matching_block_id=394548301_288357500_0_2_0&sr_pri_blocks=394548301_288357500_0_2_0__87420000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i","Cách trung tâm 0,8km","9,5",Xu?t s?c,1.097 ?ánh giá,Pho?ng Deluxe Gi???ng ?ôi,1 gi??ng ?ôi c?c l?n,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",VND 1.410.000
Aurora Premium Hotel & Spa,https://cf.bstatic.com/xdata/images/hotel/square200/212201418.webp?k=91c9766c7496a48ec81ad81c82456abb00b198fc3efe1266dc95fc80ddc8f0ff&o=&s=1,https://www.booking.com/hotel/vn/delicacy-central-amp-spa-ha-noi.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=517462911_272395873_2_2_0&highlighted_blocks=517462911_272395873_2_2_0&matching_block_id=517462911_272395873_2_2_0&sr_pri_blocks=517462911_272395873_2_2_0__62220000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i","Cách trung tâm 0,5km","9,3",Tuy?t h?o,157 ?ánh giá,"?u ?ãi S? D?ng Trong Ngày (?u ?ãi trong ngày, s? d?ng 2 gi?) - Phòng Trung Tâm",Nhi?u lo?i gi??ng,,"1 ?êm, 2 ng??i l?n",VND 1.220.000
Bella Rosa Hotel & Spa,https://cf.bstatic.com/xdata/images/hotel/square200/168685521.webp?k=61925b43511cc839f657950b35207b98c068a6b90b5372851f2079c1677716e8&o=&s=1,https://www.booking.com/hotel/vn/bella-rosa.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=176472202_123746373_2_1_0&highlighted_blocks=176472202_123746373_2_1_0&matching_block_id=176472202_123746373_2_1_0&sr_pri_blocks=176472202_123746373_2_1_0__62775000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i",Cách trung tâm 500m,"9,0",Tuy?t h?o,259 ?ánh giá,Pho?ng Deluxe Gi???ng ?ôi,1 gi??ng ?ôi c?c l?n,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",VND 1.395.000
The Bloom Hanoi,https://cf.bstatic.com/xdata/images/hotel/square200/299153484.webp?k=8874c5e38f4c8c3a5e82aa15a24d9be999536888f3bb52078b4d64afb59f086e&o=&s=1,https://www.booking.com/hotel/vn/the-bloom-ha-noi-ha-noi.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=573646303_326457730_0_9_0&highlighted_blocks=573646303_326457730_0_9_0&matching_block_id=573646303_326457730_0_9_0&sr_pri_blocks=573646303_326457730_0_9_0__82305000&tpi_r=1&from=searchresults&map=1,"Cau Giay, Ha? Nô?i",Cách trung tâm 7km,"9,2",Tuy?t h?o,172 ?ánh giá,Studio,,Mi?n phí h?y,,
Hanoi La Siesta Hotel & Spa,https://cf.bstatic.com/xdata/images/hotel/square200/243260075.webp?k=9c4cc8443b8c5f98a866f187f2ce3c197bc62cffb4a829e00629775e34ac5d5c&o=&s=1,https://www.booking.com/hotel/vn/hanoi-la-siesta.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=111583711_278823990_0_42_0&highlighted_blocks=111583711_278823990_0_42_0&matching_block_id=111583711_278823990_0_42_0&sr_pri_blocks=111583711_278823990_0_42_0__147900000&tpi_r=1&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i","Cách trung tâm 0,8km","9,5",Xu?t s?c,295 ?ánh giá,Phòng Superior không có C?a s?,,Mi?n phí h?y,,
Luxury Old Quarter Hotel & Gym,https://cf.bstatic.com/xdata/images/hotel/square200/98014686.webp?k=8c8f09003e88553a5990dd2c6b30798ab11d5eb3028134bb850457eedc01465c&o=&s=1,https://www.booking.com/hotel/vn/luxury-old-quarter.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=211520801_264002309_2_0_0&highlighted_blocks=211520801_264002309_2_0_0&matching_block_id=211520801_264002309_2_0_0&sr_pri_blocks=211520801_264002309_2_0_0__70200000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i","Cách trung tâm 0,8km","9,3",Tuy?t h?o,327 ?ánh giá,Phòng Superior Gi??ng ?ôi,1 gi??ng ?ôi,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",VND 2.700.000
Babylon Premium Hotel & Spa,https://cf.bstatic.com/xdata/images/hotel/square200/239320698.webp?k=aae9318f98d9639e5f525394563b271fc0835ba43e1c781cb4d2e89076d00e3e&o=&s=1,https://www.booking.com/hotel/vn/babylon-premium-amp-spa.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=517400501_266166917_2_1_0&highlighted_blocks=517400501_266166917_2_1_0&matching_block_id=517400501_266166917_2_1_0&sr_pri_blocks=517400501_266166917_2_1_0__75240000&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i","Cách trung tâm 0,6km","9,5",Xu?t s?c,365 ?ánh giá,Phòng Superior Gi??ng ?ôi/2 Gi??ng ??n,1 gi??ng ?ôi ho?c 2 gi??ng ??n,Mi?n Phí h?y phòng • Không c?n thanh toán tr??c,"1 ?êm, 2 ng??i l?n",VND 1.368.000
La Siesta Premium Hang Be,https://cf.bstatic.com/xdata/images/hotel/square200/192447743.webp?k=ee13d74c5987dad26af5ca8806cc3ab9a90f6f7a6d7088e3a260697b0beaab27&o=&s=1,https://www.booking.com/hotel/vn/la-siesta-classic-hang-be.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=472582301_265619714_0_0_0&highlighted_blocks=472582301_265619714_0_0_0&matching_block_id=472582301_265619714_0_0_0&sr_pri_blocks=472582301_265619714_0_0_0__142120000&tpi_r=1&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i","Cách trung tâm 0,6km","9,5",Xu?t s?c,492 ?ánh giá,Phòng Superior không có C?a s?,,Mi?n phí h?y,,
Hanoi Aria Central Hotel & Spa,https://cf.bstatic.com/xdata/images/hotel/square200/293990735.webp?k=7d43aec6f6b571f7eca2270b4f23bdcbaca1b138f7ee0ad804fdb298267c9107&o=&s=1,https://www.booking.com/hotel/vn/hanoi-aria-central-amp-spa.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=450194826_264048079_2_0_0&highlighted_blocks=450194826_264048079_2_0_0&matching_block_id=450194826_264048079_2_0_0&sr_pri_blocks=450194826_264048079_2_0_0__64000000&tpi_r=1&from=searchresults&map=1,Ha? Nô?i,"Cách trung tâm 1,1km",10,Xu?t s?c,14 ?ánh giá,Phòng Superior Gi??ng ?ôi,,,,
Spring Flower Hotel,https://cf.bstatic.com/xdata/images/hotel/square200/209609239.webp?k=b1405fe1b389c1965d1b722e9c6141c1c94ea328ff220b3d9bd34a575910f254&o=&s=1,https://www.booking.com/hotel/vn/spring-flower.vi.html?label=gen173nr-1DCAEoggI46AdIM1gEaPQBiAEBmAEquAEXyAEM2AED6AEBiAIBqAIDuALtxc6QBsACAdICJDY4M2FiMTc0LWRkOGYtNDQxOC04YWM3LWFkMDU1ZWJjNzY3ZNgCBOACAQ&sid=ef786723233ce9c9c3de6fcdb70f7ba4&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-24&checkout=2022-02-25&dest_id=-3714993&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=c80d71f2d04202b6&srepoch=1645459952&all_sr_blocks=81782503_123748160_0_0_0&highlighted_blocks=81782503_123748160_0_0_0&matching_block_id=81782503_123748160_0_0_0&sr_pri_blocks=81782503_123748160_0_0_0__48873600&tpi_r=2&from=searchresults&map=1,"Qu?n Hoàn Ki?m, Ha? Nô?i","Cách trung tâm 0,7km","8,6",Tuy?t v?i,119 ?ánh giá,Phòng C? ?i?n Gi??ng ?ôi,1 gi??ng ?ôi,,"1 ?êm, 2 ng??i l?n",VND 1.527.300
